person_id,gender,age,race,hispanic?,high_school_grad?,ged_received?,first_gen_college?,past_college_enrollment,zipcode,city,state,veteran_status,lead_created_date,hear_about_campus,utm_marketing_channel,application_start_date,first_meaningful_conversation_date,application_submit_date,interview_date,async_interview_date_c,assessment_decision,assessment_attempts,admit_date,admit_status,enroll_date,c,num_phone_calls,offer_letter_status,offer_letter_status_date,fafsa_status,enrollment_identity_verification_status,highschool_grad_verification_status,Registration Status end of first term,Credits Completed end of first term,Credits attempted in students first term,GPA end of First Term,last_date_attendance,quarter_start_date,quarter_end_date
15,no-binary,25,mixed,yes,yes,no,attended,no,17110,Harrisburg,PA,notApplicable,2024-06-15,facebook,unknown,2024-06-15,,2024-06-15,,,not taken,0,,,,FALSE,10,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
16,male,19,black,no,yes,no,attended,no,31216,Macon,GA,notApplicable,2024-06-15,facebook,natural search,2024-06-15,2024-06-17,2024-06-15,,,passed,1,,,,FALSE,1,not sent,,completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
17,male,25,black,no,yes,no,neither,no,95821,Sacramento,CA,notApplicable,2024-06-15,wordOfMouth,unknown,2024-06-15,2024-06-27,2024-06-15,2024-07-02,,passed,1,2024-07-25,Assessment + Interview,2024-08-21,FALSE,13,complete,2024-08-20,completed,verified,verified,Provisional Drop,0,0,,2024-10-10,2024-10-07,2024-12-12
18,female,25,white,yes,yes,no,attended,yes,85367,Yuma,AZ,notApplicable,2024-06-15,natural search,natural search,2024-06-15,2024-07-08,2024-06-15,2024-07-10,,passed,1,2024-07-11,Assessment + Interview,2024-07-17,FALSE,13,complete,2024-07-12,completed,verified,verified,Registered,9,9,4.0,2024-12-12,2024-10-07,2024-12-12
19,female,31,black,yes,yes,no,neither,no,30312,Atlanta,GA,notApplicable,2024-04-03,facebook,facebook,2024-06-15,2024-06-20,2024-06-15,2024-06-21,,passed,1,2024-06-25,Assessment + Interview,2024-07-03,FALSE,23,complete,2024-06-27,completed,verified,verified,Registered,9,9,4.0,2024-12-12,2024-10-07,2024-12-12
20,male,27,white,yes,yes,no,neither,no,89104,Las Vegas,NV,notApplicable,2024-08-12,other,unknown,2024-08-12,,2024-08-12,,,not taken,0,,,,FALSE,4,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
21,female,22,black,no,yes,no,attended,no,75241,Dallas,TX,notApplicable,2024-07-19,facebook,unknown,2024-07-19,,2024-07-19,2024-07-09,,not taken,0,,,,FALSE,7,sent,2024-06-14,completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
22,male,39,black,no,yes,no,attended,no,76201,Denton,TX,notApplicable,2024-06-14,google,unknown,2024-06-15,2024-06-25,2024-06-15,2024-06-25,,not taken,0,,,,FALSE,16,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
24,male,22,black,no,yes,no,attended,yes,71351,Marksville,LA,notApplicable,2024-06-14,facebook,unknown,2024-06-15,,2024-06-15,2024-07-02,,passed,1,2024-07-02,Assessment + Interview,2024-07-12,FALSE,23,complete,2024-07-12,completed,verified,verified,Registered,4,9,1.3,2024-12-11,2024-10-07,2024-12-12
25,female,21,black,no,yes,no,neither,yes,89129,Las Vegas,NV,notApplicable,2024-09-13,tiktok,unknown,2024-09-13,2024-09-17,2024-09-13,2024-09-17,2024-09-16,passed,2,2024-09-16,No Interview,2024-09-26,FALSE,30,complete,2024-12-02,completed,verified,verified,Did Not Start,0,0,,,2024-10-07,2024-12-12
26,female,20,black,no,yes,no,attended,yes,29069,Lamar,SC,notApplicable,2024-08-09,tiktok,unknown,2024-08-09,,2024-08-09,,2024-08-09,passed,1,2024-08-12,No Interview,2024-09-03,FALSE,48,complete,2024-10-23,completed,verified,verified,Did Not Start,0,0,,,2024-10-07,2024-12-12
27,female,19,black,no,yes,no,graduated,no,36201,Hobson City,AL,notApplicable,2024-07-09,wordOfMouth,facebook,2024-07-12,2024-07-19,2024-07-12,2024-07-15,,passed,1,2024-07-16,No Interview,2024-07-22,FALSE,10,complete,2024-07-22,completed,verified,verified,Did Not Start,0,0,,,2024-10-07,2024-12-12
28,female,47,americanIndian,no,yes,no,graduated,yes,40214,Louisville,KY,notApplicable,2024-08-21,facebook,facebook,2024-08-21,2024-08-21,2024-08-21,2024-08-21,,passed,1,2024-08-22,Assessment + Interview,2024-09-12,FALSE,13,complete,2024-09-10,completed,verified,verified,Did Not Start,0,0,,,2024-10-07,2024-12-12
29,female,53,black,no,yes,no,neither,no,08360,Vineland,NJ,notApplicable,2024-08-14,facebook,facebook,2024-08-14,2024-08-14,2024-08-14,2024-08-15,,passed,1,2024-08-15,Assessment + Interview,2024-08-21,FALSE,9,sent,2024-09-03,completed,verified,verified,Did Not Start,0,0,,,2024-10-07,2024-12-12
30,female,52,white,no,yes,no,graduated,yes,77082,Houston,TX,notApplicable,2024-08-24,facebook,facebook,2024-08-24,2024-08-26,2024-08-24,2024-08-26,2024-08-24,passed,1,2024-08-26,Assessment + Interview,2024-08-29,FALSE,12,sent,2024-12-16,completed,verified,verified,Did Not Start,0,0,,,2024-10-07,2024-12-12
31,male,20,white,no,yes,no,neither,no,84401,Ogden,UT,notApplicable,2024-07-28,google,google,2024-07-28,2024-07-29,2024-07-28,2024-07-29,,passed,1,2024-07-30,Assessment + Interview,,FALSE,9,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
32,female,34,white,yes,yes,no,neither,yes,40511,Lexington,KY,notApplicable,2024-07-25,facebook,facebook,2024-07-25,,2024-07-25,,,passed,1,2024-07-29,No Interview,,FALSE,8,not sent,,need docs,verified,not uploaded,,,,,,2024-10-07,2024-12-12
33,male,24,black,no,yes,no,neither,no,45056,Oxford,OH,notApplicable,2024-07-18,tiktok,unknown,2024-07-18,2024-07-23,2024-07-18,,,passed,1,2024-09-06,No Interview,,FALSE,3,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
34,male,23,mixed,yes,yes,no,graduated,yes,90242,Downey,CA,notApplicable,2024-07-19,facebook,facebook,2024-07-19,,2024-07-19,,,passed,1,2024-07-25,No Interview,,FALSE,15,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
35,female,38,white,no,no,yes,graduated,no,34669,Hudson,FL,notApplicable,2024-07-03,wordOfMouth,google,2024-07-03,,2024-07-03,,,passed,1,2024-07-16,No Interview,,FALSE,19,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
36,female,31,white,yes,yes,no,neither,no,73129,Oklahoma City,OK,notApplicable,2024-08-04,snapchat,snapchat,2024-08-07,2024-08-16,2024-08-07,2024-08-05,,passed,1,2024-09-12,No Interview,,FALSE,27,sent,2024-09-20,completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
37,male,40,black,no,yes,no,attended,yes,61244,East Moline,IL,notApplicable,2024-08-28,facebook,facebook,2024-08-28,2024-09-12,2024-08-28,,,passed,1,2024-08-30,No Interview,,FALSE,15,complete,2024-09-12,completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
38,male,46,white,no,yes,no,graduated,no,63432,Arbela,MO,notApplicable,2024-08-31,facebook,facebook,2024-09-01,,2024-09-01,,,passed,1,2024-09-06,No Interview,,FALSE,18,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
39,male,28,asian,no,yes,no,attended,no,98103,Seattle,WA,notApplicable,2024-08-11,facebook,unknown,2024-08-11,,2024-08-11,,,passed,1,2024-08-23,No Interview,,FALSE,15,not sent,,not completed,not uploaded,verified,,,,,,2024-10-07,2024-12-12
40,male,18,white,no,no,yes,unknown,no,10965,Pearl River,NY,notApplicable,2024-09-08,facebook,facebook,2024-09-08,,2024-09-08,,,passed,1,2024-09-10,No Interview,,FALSE,27,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
41,female,38,white,no,no,yes,neither,no,34428,Crystal River,FL,notApplicable,2024-09-13,facebook,unknown,2024-09-13,,2024-09-13,,2024-09-16,passed,1,2024-09-16,No Interview,,FALSE,20,sent,2024-09-20,completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
42,female,28,mixed,yes,yes,no,neither,no,77080,77080,TX,notApplicable,2024-08-08,natural search,facebook,2024-08-08,2024-08-08,2024-08-08,2024-08-08,,passed,1,2024-08-12,Assessment + Interview,,FALSE,11,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
43,female,27,black,no,yes,no,graduated,no,77033,Houston,TX,notApplicable,2024-07-31,facebook,facebook,2024-07-31,2024-08-07,2024-07-31,2024-08-07,,passed,1,2024-08-07,No Interview,,FALSE,11,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
44,female,18,black,no,yes,no,graduated,no,30043,Lawrenceville,GA,notApplicable,2024-09-07,snapchat,snapchat,2024-09-07,2024-09-11,2024-09-07,2024-09-11,,passed,1,2024-09-10,No Interview,,FALSE,6,not sent,,not completed,verified,rejected,,,,,,2024-10-07,2024-12-12
45,male,25,black,no,yes,no,unknown,no,33407,West Palm Beach,FL,notApplicable,2024-08-11,facebook,facebook,2024-08-12,2024-08-13,2024-08-12,,,passed,1,2024-08-29,No Interview,,FALSE,14,not sent,,not completed,verified,rejected,,,,,,2024-10-07,2024-12-12
46,female,35,white,no,yes,no,unknown,yes,99801,Juneau,AK,notApplicable,2024-07-24,natural search,google,2024-07-24,,2024-07-24,,,passed,1,2024-07-25,No Interview,,FALSE,12,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
47,male,27,asian,no,yes,no,neither,yes,11432,Jamaica,NY,notApplicable,2024-09-01,facebook,facebook,2024-09-01,,2024-09-01,,,passed,1,2024-09-06,No Interview,,FALSE,13,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
48,female,53,white,no,yes,no,neither,no,01440,Gardner,MA,notApplicable,2024-09-05,facebook,facebook,2024-09-05,,2024-09-05,,,passed,1,2024-09-09,No Interview,,FALSE,24,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
49,female,27,white,no,no,yes,neither,no,35549,Carbon Hill,AL,notApplicable,2024-09-01,facebook,facebook,2024-09-01,,2024-09-01,,,passed,1,2024-09-09,No Interview,,FALSE,16,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
50,male,34,mixed,yes,yes,no,neither,yes,33579,Riverview Fl,FL,veteran,2024-08-16,facebook,facebook,2024-08-16,,2024-08-16,,,passed,1,2024-08-23,No Interview,,FALSE,13,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
51,male,19,white,yes,yes,no,graduated,yes,74127,Tulsa,OK,notApplicable,2024-09-08,google,google,2024-09-08,,2024-09-08,,,passed,1,2024-09-10,No Interview,,FALSE,9,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
52,male,21,black,no,yes,no,graduated,no,02021,Canton,MA,notApplicable,2024-08-11,wordOfMouth,unknown,2024-08-11,,2024-08-11,,,passed,1,2024-12-04,No Interview,,FALSE,22,not sent,2025-01-17,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
53,female,24,white,yes,yes,no,neither,yes,30097,Duluth,GA,notApplicable,2024-07-27,tiktok,facebook,2024-07-27,,2024-07-27,,,passed,1,2024-07-29,No Interview,,FALSE,41,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
54,male,21,mixed,no,yes,no,unknown,yes,22193,Woodbridge,VA,notApplicable,2024-09-02,facebook,facebook,2024-09-02,,2024-09-02,,,passed,1,2024-09-06,No Interview,,FALSE,10,not sent,,need docs,verified,rejected,,,,,,2024-10-07,2024-12-12
55,female,27,americanIndian,no,yes,no,graduated,no,02421,Lexington,MA,notApplicable,2024-07-29,natural search,google,2024-07-29,,2024-07-29,,,passed,1,2024-09-06,No Interview,,FALSE,16,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
56,female,22,white,no,no,yes,attended,no,48910,Lansing,MI,notApplicable,2024-08-22,facebook,facebook,2024-08-22,,2024-08-22,,,passed,1,2024-09-13,No Interview,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
57,male,30,white,yes,no,yes,neither,no,77449,Katy,TX,notApplicable,2024-07-25,facebook,facebook,2024-07-25,2024-07-25,2024-07-25,2024-07-25,,passed,1,2024-07-25,No Interview,,FALSE,16,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
58,male,40,black,no,yes,no,neither,no,44127,Cleveland,OH,notApplicable,2024-07-16,facebook,facebook,2024-07-17,2024-07-25,2024-07-17,2024-07-25,,passed,1,2024-07-26,No Interview,,FALSE,31,not sent,,need docs,verified,verified,,,,,,2024-10-07,2024-12-12
59,female,44,black,no,yes,no,neither,no,60438,Lansing,IL,notApplicable,2024-07-15,tiktok,tiktok,2024-07-16,,2024-07-16,,,passed,1,2024-07-29,No Interview,,FALSE,5,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
60,male,22,black,no,yes,no,graduated,yes,70390,Napoleonville,LA,notApplicable,2024-08-05,google,unknown,2024-08-05,,2024-08-05,,,passed,1,2024-08-05,Async Interview,,FALSE,12,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
61,female,19,mixed,no,yes,no,graduated,no,89106,Las Vegas,NV,notApplicable,2024-08-28,facebook,facebook,2024-08-29,,2024-08-29,,,passed,1,2024-09-06,No Interview,,FALSE,12,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
62,male,27,white,no,yes,no,unknown,no,94536,Fremont,CA,notApplicable,2024-07-24,facebook,unknown,2024-07-25,2024-08-15,2024-07-25,2024-08-15,,passed,1,2024-08-16,Assessment + Interview,,FALSE,14,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
63,female,20,black,no,yes,no,neither,yes,48201,Detroit,MI,notApplicable,2024-08-09,facebook,facebook,2024-08-09,2024-08-27,2024-08-09,2024-08-27,,passed,2,2024-09-06,Assessment + Interview,,FALSE,24,not sent,,need docs,verified,verified,,,,,,2024-10-07,2024-12-12
64,female,18,black,no,yes,no,neither,no,30106,Austell,GA,notApplicable,2024-08-19,facebook,facebook,2024-08-19,2024-08-19,2024-08-19,2024-08-19,,passed,1,2024-08-21,Assessment + Interview,,FALSE,33,not sent,,need docs,rejected,verified,,,,,,2024-10-07,2024-12-12
65,female,30,white,no,yes,no,attended,yes,62629,Chatham,IL,notApplicable,2024-07-24,facebook,unknown,2024-07-24,2024-07-24,2024-07-24,2024-07-29,,passed,1,2024-07-29,No Interview,,FALSE,10,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
66,female,34,black,no,yes,no,neither,yes,94544,Hayward,CA,notApplicable,2024-07-23,facebook,tiktok,2024-07-23,,2024-07-23,,,passed,1,2024-07-25,No Interview,,FALSE,10,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
67,male,24,black,no,no,yes,neither,no,48227,Detroit,MI,notApplicable,2024-08-25,facebook,facebook,2024-08-25,,2024-08-25,,,passed,1,2024-09-06,No Interview,,FALSE,13,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
68,female,24,black,no,yes,no,neither,yes,92101,San Diego,CA,notApplicable,2024-08-08,facebook,facebook,2024-08-08,,2024-08-08,,,passed,1,2024-08-12,No Interview,,FALSE,4,complete,2024-08-20,completed,verified,verified,,,,,,2024-10-07,2024-12-12
69,female,28,mixed,no,yes,no,neither,no,46613,South Bend,IN,notApplicable,2024-07-28,facebook,facebook,2024-08-02,2024-08-05,2024-08-02,,,passed,1,2024-09-06,No Interview,,FALSE,7,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
70,male,35,black,no,yes,no,graduated,yes,15212,Pittsburgh,PA,notApplicable,2024-07-20,google,google,2024-07-20,,2024-07-20,,,passed,1,2024-07-25,Assessment + Interview,,FALSE,12,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
71,female,18,black,no,yes,no,neither,yes,90007,Los Angeles,CA,notApplicable,2024-07-29,facebook,facebook,2024-07-29,,2024-07-30,,2024-08-17,passed,1,2024-08-19,No Interview,,FALSE,22,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
72,female,36,black,no,yes,no,attended,yes,63107,St Louis,MO,notApplicable,2024-08-16,facebook,unknown,2024-08-16,,2024-08-16,,,passed,1,2024-08-23,No Interview,,FALSE,9,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
73,female,22,black,yes,yes,no,attended,yes,17104,Harrisburg,PA,notApplicable,2024-07-19,facebook,facebook,2024-07-19,2024-07-19,2024-07-19,2024-07-19,,passed,1,2024-07-22,Assessment + Interview,,FALSE,8,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
74,female,25,white,no,yes,no,neither,no,44102,Cleveland,OH,notApplicable,2024-08-24,facebook,facebook,2024-08-24,,2024-08-24,,,passed,1,2024-09-06,No Interview,,FALSE,5,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
75,female,33,black,no,no,yes,unknown,no,30083,Stone Mounta,GA,notApplicable,2024-08-11,facebook,facebook,2024-08-12,2024-08-23,2024-08-12,,2024-08-12,passed,1,2024-08-12,No Interview,,FALSE,13,sent,2024-08-13,completed,verified,verified,,,,,,2024-10-07,2024-12-12
76,male,18,black,no,yes,no,unknown,no,16510,Erie,PA,notApplicable,2024-08-27,facebook,facebook,2024-08-27,2024-08-30,2024-08-27,2024-08-28,,passed,1,2024-08-28,Assessment + Interview,,FALSE,25,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
77,female,32,white,no,yes,no,neither,no,14605,Rochester,NY,notApplicable,2024-08-31,facebook,facebook,2024-09-01,2024-09-12,2024-09-01,,,passed,1,2024-09-16,Assessment + Interview,,FALSE,12,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
78,male,30,white,no,yes,no,graduated,no,48507,Flint,MI,notApplicable,2024-07-08,facebook,snapchat,2024-07-08,2024-07-10,2024-07-08,2024-07-12,,passed,1,2024-07-17,Assessment + Interview,,FALSE,20,not sent,,completed,verified,verified,,,,,,2024-10-07,2024-12-12
79,female,34,black,no,yes,no,neither,no,93550,Palmdale,CA,notApplicable,2024-08-01,google,google,2024-08-01,,2024-08-01,,,passed,1,2024-08-07,No Interview,,FALSE,13,not sent,,not completed,not uploaded,verified,,,,,,2024-10-07,2024-12-12
80,female,27,mixed,yes,yes,no,neither,no,10467,Bronx,NY,notApplicable,2024-08-31,snapchat,snapchat,2024-08-31,2024-09-04,2024-08-31,2024-09-04,,passed,1,2024-09-05,Assessment + Interview,,FALSE,11,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
81,female,31,white,no,yes,no,neither,no,37040,Clarksville,TN,notApplicable,2024-08-16,google,google,2024-08-17,,2024-08-17,,,passed,1,2024-08-23,No Interview,,FALSE,7,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
82,female,40,black,no,yes,no,attended,yes,33407,West Palm Beach,FL,notApplicable,2024-08-11,facebook,facebook,2024-08-11,,2024-08-11,,,passed,1,2024-09-06,No Interview,,FALSE,3,not sent,,not completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
83,female,24,mixed,no,yes,no,neither,no,08638,Trenton,NJ,notApplicable,2024-07-28,natural search,natural search,2024-07-28,2024-07-29,2024-07-28,2024-08-05,,passed,1,2024-08-05,Assessment + Interview,,FALSE,18,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
84,female,58,white,no,yes,no,neither,no,85204,Mesa,AZ,notApplicable,2024-09-01,facebook,facebook,2024-09-01,,2024-09-01,,,not taken,0,2024-09-06,No Interview,,FALSE,8,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
85,female,27,white,no,yes,no,attended,yes,77510,Santa Fe,TX,dependent,2024-08-19,tiktok,facebook,2024-08-19,2024-08-20,2024-08-19,2024-08-20,2024-08-20,passed,1,2024-08-21,Async Interview,,FALSE,20,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
86,male,24,mixed,yes,yes,no,neither,no,78233,San Antonio,TX,notApplicable,2024-08-19,snapchat,snapchat,2024-08-19,2024-08-19,2024-08-19,2024-08-19,,passed,1,2024-09-03,Assessment + Interview,,FALSE,12,sent,2024-09-09,completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
87,female,25,black,no,yes,no,neither,no,54929,Clintonville,WI,notApplicable,2024-08-29,facebook,facebook,2024-09-03,2024-09-09,2024-09-03,2024-09-09,,passed,1,2024-09-12,Assessment + Interview,,FALSE,5,not sent,,need docs,verified,rejected,,,,,,2024-10-07,2024-12-12
88,male,31,white,no,yes,no,unknown,no,15042,Freedom,PA,notApplicable,2024-08-08,facebook,facebook,2024-08-08,2024-08-08,2024-08-08,2024-08-08,,passed,1,2024-08-12,Assessment + Interview,,FALSE,10,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
89,female,43,black,no,yes,no,attended,no,33170,Miami,FL,notApplicable,2024-08-16,facebook,facebook,2024-08-16,,2024-08-16,,,passed,1,2024-08-29,No Interview,,FALSE,17,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
90,female,30,white,no,yes,no,attended,yes,34251,Myakka City,FL,notApplicable,2024-07-24,facebook,facebook,2024-07-24,2024-08-06,2024-07-24,2024-07-25,,passed,1,2024-09-15,Assessment + Interview,,FALSE,24,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
91,male,23,black,no,yes,no,unknown,no,32311,Tallahassee,FL,notApplicable,2024-09-06,facebook,facebook,2024-09-06,2024-09-09,2024-09-06,2024-09-20,,passed,1,2024-09-20,Assessment + Interview,,FALSE,20,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
92,female,23,black,no,no,yes,neither,no,36271,Ohatchee,AL,notApplicable,2024-07-06,facebook,facebook,2024-07-06,,2024-07-06,,,passed,1,2024-07-16,No Interview,,FALSE,4,not sent,,not completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
93,male,19,mixed,yes,yes,no,neither,no,89506,Reno,NV,notApplicable,2024-08-26,snapchat,snapchat,2024-08-26,2024-11-22,2024-08-26,2024-08-30,,passed,1,2024-09-05,Assessment + Interview,,FALSE,17,not sent,,not completed,not uploaded,verified,,,,,,2024-10-07,2024-12-12
94,female,28,white,no,yes,no,attended,no,74120,Tulsa,OK,notApplicable,2024-09-02,facebook,facebook,2024-09-02,2024-09-11,2024-09-02,2024-09-11,,passed,1,2024-09-06,No Interview,,FALSE,12,complete,2024-09-13,completed,not uploaded,not uploaded,,,,,,2024-10-07,2024-12-12
95,female,26,white,no,yes,no,unknown,yes,47374,Richmond,IN,notApplicable,2024-08-05,facebook,facebook,2024-08-13,2024-08-14,2024-08-13,2024-08-14,,passed,1,2024-08-16,Assessment + Interview,,FALSE,12,not sent,,need docs,verified,not uploaded,,,,,,2024-10-07,2024-12-12
96,male,50,white,no,yes,no,unknown,yes,63966,Wappapello,MO,veteran,2024-07-15,google,google,2024-07-15,2024-07-15,2024-07-15,,,passed,1,2024-07-16,No Interview,,FALSE,2,sent,2024-12-11,completed,verified,not uploaded,,,,,,2024-10-07,2024-12-12
97,female,23,white,no,yes,no,neither,no,29640,Easley,SC,notApplicable,2024-08-16,tiktok,unknown,2024-08-16,,2024-08-16,,2024-08-16,passed,1,2024-08-19,No Interview,,FALSE,10,not sent,,not completed,verified,verified,,,,,,2024-10-07,2024-12-12
